index,value
2000,3
2001,23
2002,12
2003,0
2004,16
2005,15
2006,23
2007,0
2008,24
2009,20
2010,7
2011,27
2012,0
2013,28
2014,14
2015,3
2016,27
2017,12
2018,20
2019,10
2020,27
2021,23
2022,12
2023,24
2024,2
2025,31
2026,1
2027,0
2028,28
2029,6
2030,19
2031,9
2032,20
2033,20
2034,10
2035,19
2036,5
2037,28
2038,2
2039,10
2040,31
2041,5
2042,24
2043,10
2044,22
2045,31
2046,9
2047,16
2048,14
2049,30
2050,3
2051,13
2052,20
2053,2
2054,26
2055,5
2056,21
2057,24
2058,2
2059,22
2060,13
2061,17
2062,27
2063,14
2064,22
2065,9
2066,25
2067,7
2068,30
2069,26
2070,1
2071,29
2072,15
2073,18
2074,26
2075,5
2076,17
2077,11
2078,22
2079,4
2080,9
2081,17
2082,7
2083,30
2084,0
2085,17
2086,29
2087,7
2088,26
2089,8
2090,21
2091,15
2092,11
2093,18
2094,12
2095,29
2096,3
2097,27
2098,30
2099,4
2100,25
2101,7
2102,23
2103,8
2104,0
2105,20
2106,15
2107,19
2108,0
2109,28
2110,20
2111,3
2112,27
2113,4
2114,28
2115,10
2116,3
2117,31
2118,12
2119,16
2120,10
2121,31
2122,23
2123,8
2124,24
2125,6
2126,27
2127,1
2128,4
2129,28
2130,2
2131,19
2132,13
2133,20
2134,16
2135,10
2136,23
2137,13
2138,24
2139,2
2140,14
2141,31
2142,1
2143,24
2144,14
2145,22
2146,27
2147,9
2148,20
2149,14
2150,18
2151,5
2152,13
2153,16
2154,2
2155,30
2156,5
2157,17
2158,24
2159,6
2160,22
2161,9
2162,17
2163,14
2164,14
2165,18
2166,9
2167,29
2168,6
2169,26
2170,26
2171,5
2172,29
2173,11
2174,22
2175,14
2176,1
2177,17
2178,15
2179,22
2180,0
2181,25
2182,21
2183,7
2184,26
2185,0
2186,29
2187,15
2188,3
2189,26
2190,12
2191,21
2192,11
2193,27
2194,22
2195,12
2196,25
2197,3
2198,31
2199,30
2200,0
2201,29
2202,7
2203,19
2204,8
2205,4
2206,21
2207,11
2208,19
2209,4
2210,28
2211,17
2212,11
2213,31
2214,4
2215,24
2216,10
2217,7
2218,31
2219,8
2220,16
2221,14
2222,31
2223,19
2224,8
2225,20
2226,2
2227,27
2228,5
2229,4
2230,24
2231,2
2232,23
2233,13
2234,16
2235,16
2236,14
2237,23
2238,9
2239,24
2240,6
2241,14
2242,27
2243,1
2244,28
2245,14
2246,18
2247,27
2248,13
2249,16
2250,10
2251,22
2252,5
2253,9
2254,16
2255,6
2256,30
2257,1
2258,17
2259,28
2260,6
2261,18
2262,9
2263,21
2264,14
2265,10
2266,18
2267,13
2268,29
2269,2
2270,26
2271,30
2272,5
2273,25
2274,6
2275,22
2276,8
2277,1
2278,21
2279,15
2280,18
2281,0
2282,29
2283,21
2284,3
2285,26
2286,4
2287,29
2288,11
2289,3
2290,30
2291,12
2292,17
2293,11
2294,31
2295,22
2296,8
2297,25
2298,7
2299,27
2300,0
2301,4
2302,29
2303,3
2304,19
2305,12
2306,20
2307,17
2308,11
2309,23
2310,4
2311,24
2312,3
2313,15
2314,31
2315,0
2316,24
2317,15
2318,23
2319,27
2320,8
2321,20
2322,14
2323,27
2324,5
2325,12
2326,16
2327,2
2328,31
2329,5
2330,16
2331,24
2332,6
2333,23
2334,9
2335,16
2336,14
2337,14
2338,19
2339,9
2340,28
2341,6
2342,26
2343,27
2344,5
2345,28
2346,10
2347,22
2348,31
2349,1
2350,16
2351,14
2352,22
2353,1
2354,25
2355,20
2356,6
2357,26
2358,1
2359,29
2360,14
2361,2
2362,26
2363,13
2364,21
2365,10
2366,26
2367,22
2368,13
2369,25
2370,2
2371,30
2372,30
2373,1
2374,29
2375,6
2376,18
2377,8
2378,5
2379,21
2380,10
2381,18
2382,4
2383,29
2384,19
2385,10
2386,30
2387,4
2388,25
2389,11
2390,7
2391,30
2392,8
2393,17
2394,15
2395,31
2396,18
2397,8
2398,21
2399,3
2400,27
2401,4
2402,4
2403,25
2404,3
2405,23
2406,12
2407,16
2408,17
2409,15
2410,23
2411,8
2412,24
2413,7
2414,15
2415,27
2416,0
2417,28
2418,15
2419,19
2420,27
2421,12
2422,16
2423,11
2424,23
2425,5
2426,8
2427,16
2428,7
2429,31
2430,1
2431,16
2432,28
2433,6
2434,27
2435,9
2436,20
2437,14
2438,10
2439,19
2440,13
2441,28
2442,2
2443,26
2444,31
2445,5
2446,24
2447,6
2448,22
2449,9
2450,1
2451,20
2452,14
2453,18
2454,1
2455,29
2456,20
2457,2
2458,26
2459,5
2460,29
2461,10
2462,2
2463,30
2464,13
2465,17
2466,10
2467,30
2468,22
2469,9
2470,25
2471,6
2472,26
2473,0
2474,5
2475,29
2476,2
2477,18
2478,12
2479,21
2480,17
2481,10
2482,22
2483,12
2484,25
2485,3
2486,14
2487,30
2488,0
2489,25
2490,15
2491,22
2492,26
2493,8
2494,21
2495,15
2496,18
2497,4
2498,12
2499,17
2500,3
2501,31
2502,4
2503,16
2504,25
2505,7
2506,23
2507,8
2508,16
2509,15
2510,15
2511,19
2512,8
2513,28
2514,7
2515,27
2516,27
2517,4
2518,28
2519,11
2520,23
2521,15
2522,0
2523,16
2524,15
2525,23
2526,1
2527,24
2528,20
2529,7
2530,27
2531,1
2532,28
2533,14
2534,3
2535,27
2536,13
2537,20
2538,10
2539,27
2540,23
2541,13
2542,24
2543,2
2544,31
2545,31
2546,1
2547,28
2548,6
2549,18
2550,9
2551,21
2552,20
2553,10
2554,18
2555,5
2556,29
2557,2
2558,10
2559,30
2560,5
2561,25
2562,10
2563,6
2564,30
2565,9
2566,17
2567,14
2568,30
2569,18
2570,13
2571,21
2572,2
2573,26
2574,4
2575,5
2576,25
2577,2
2578,22
2579,12
2580,17
2581,27
2582,14
2583,22
2584,8
2585,25
2586,7
2587,14
2588,26
2589,0
2590,29
2591,15
2592,18
2593,26
2594,4
2595,17
2596,11
2597,22
2598,4
2599,8
2600,17
2601,7
2602,30
2603,0
2604,16
2605,29
2606,7
2607,26
2608,8
2609,20
2610,15
2611,11
2612,19
2613,12
2614,28
2615,3
2616,27
2617,31
2618,4
2619,24
2620,7
2621,23
2622,9
2623,0
2624,20
2625,15
2626,19
2627,1
2628,28
2629,20
2630,3
2631,27
2632,5
2633,28
2634,10
2635,3
2636,31
2637,13
2638,16
2639,10
2640,31
2641,23
2642,9
2643,24
2644,6
2645,27
2646,1
2647,5
2648,28
2649,2
2650,19
2651,13
2652,21
2653,16
2654,10
2655,22
2656,5
2657,25
2658,2
2659,14
2660,30
2661,1
2662,25
2663,14
2664,22
2665,26
2666,9
